"A great front-facing phone that's great
",POSITIVE
The handset is very stylishly designed and easy to handle with one hand,POSITIVE
Very fast and without logging apps,POSITIVE
"The page glare seems to be better and more realistic, and the fingerprint is faster than the previous one",POSITIVE
I've got a great experience in using this,POSITIVE
"In any case, I worked very well with her. And all the stuff you expect from a phone
",POSITIVE
This handset delivers the very best of day-to-day technology and is very nice and beautiful,POSITIVE
The look is so stylish and extraordinary that the camera is better than all handsets,POSITIVE
"The hardware is also extremely powerful, and the display is awesome.",POSITIVE
There is absolutely no innovation,NEGATIVE
"In general, it's not worth the cost of battery life, which is very low",NEGATIVE
"A great mobile phone, no hesitation in buying, the Apple ecosystem is unique",POSITIVE
This handset is really great when it comes to buying this handset. It's really worth it,POSITIVE
"Unfortunately, I did not get the comments and I met a lot of shortcomings",NEGATIVE
"The appearance of the design is really great, with its back glass frame looks very stylish",POSITIVE
Hardware is also very powerful and does not stop any game and software,POSITIVE
"In any case, it's a great phone",POSITIVE
This chipset is incredibly powerful and faster than the rest,POSITIVE
"There is a great speed and convenience on the iPhone, and it's a good idea to take a moment to work",POSITIVE
The handset does not hang or slow down at all,POSITIVE
No need to say what he says. It's really great,POSITIVE
has a great picture and unique portrait.,POSITIVE
The glass frame behind the back and the appearance are very cordial and charming,POSITIVE
"The system works fine, programs are well managed, RAM is responsive to everything",POSITIVE
The software is heavily integrated with hardware and is exactly the same as the one with the highest quality.,POSITIVE
There is no memory boost,NEGATIVE
The speed of the new processor is fantastic. It's great,POSITIVE
The quality of the camera perfectly captures great photos in perfect shots,POSITIVE
Lower battery capacity. There is also little memory,NEGATIVE
I'm really pleased to suggest buying it,POSITIVE
"It's superb in quality, it's really the best phone everybody can have",POSITIVE
It was perfectly standard and well. Not a fraction or a counterfeit item,POSITIVE
It's really cool and flawless,POSITIVE
"One of my doubts about the purchase of this phone was its battery life, which is disappointing",NEGATIVE
The display of the phone is very good and the colors are clear and natural,POSITIVE
The camera of this camera is well-equipped with professional cameras,POSITIVE
"I feel good about the quality of the glass because of the glass used, the size and size of the page, I think",POSITIVE
"Due to the size of the handset, if you have a small hand, you can not work with one hand",NEGATIVE
I suggest you buy it because you will not regret it,POSITIVE
Get the most out of the moment with this awesome handset.,POSITIVE
The handset is fairly good if you have the money.,POSITIVE
"Altogether, a phone that has everything to boycott in Iran and this price is high, I do not think it's worth the purchase",NEGATIVE
"I bought this phone. And I'm really pleased to suggest buying it
",POSITIVE
The handset is in high-end hardware and software,POSITIVE
"No progress in the previous version, both in terms of design and hardware, makes you feel a little fresh when you get your hands.",NEGATIVE
"It's really a good phone. It's worth the purchase, as always, just like every other year",POSITIVE
You are not in Iran and there are a lot of restrictions,NEGATIVE
It is backed up after several years and is always fast and without a regiment,POSITIVE
Unobtrusive battery Lack of Bluetooth support No software support,NEGATIVE
no Innovation or new ideas,NEGATIVE
"Without any bias, I say really a great phone",POSITIVE
"I'm fine about the camera. In the photos of Salafi, you can see all the details of your face clearly.",POSITIVE
"Given its price, it's not worth it at all, and just drop your money",NEGATIVE
Really Apple is back in the design of the phone,NEGATIVE
Another Iranian user who banned Iranian software would have to pay for this phone,NEGATIVE
I wish my price was even more reasonable,NEGATIVE
"After two months of use, I can say it's really great",POSITIVE
"Apple has used a new technology on the display, with high-quality displays",POSITIVE
"Limit, difficulty and expensive without reason",NEGATIVE
"The quality of the phone is very high, and the phone's high weight makes sense to you",POSITIVE
"Considering the slight changes, I think there are better options for a more affordable price",NEGATIVE
"The speed of quality security has everything in place, and so far it is unique",POSITIVE
It's really a luxury and stylish phone and never gets old,POSITIVE
The handset is in good quality,POSITIVE
High-speed and high-quality camera,POSITIVE
The one who has been using this phone for years can be sure of its fast functioning,POSITIVE
"Unfortunately, it's not clear! I want to see him; I had a thrill, but it was useless",NEGATIVE
The battery is poor compared to the rest of the flag,NEGATIVE
I have to say it's really great and worth buying,POSITIVE
No significant innovation and no value in purchasing,NEGATIVE
A series of changes to the camera and the creation of a laser sensor and processor special for the camera has made a dramatic development that will make a powerful camera phone and camera in your hand,POSITIVE
The innovations of this version of the iPhone are small and apparently have little progress,NEGATIVE
Just made money for pocket money and there is nothing to say,NEGATIVE
"After a while, it goes down and hangs",NEGATIVE
Its price is really astonishing and worthless,NEGATIVE
"Touch quality, camera and impeccable hardware",POSITIVE
This is really a fanciful giant,POSITIVE
Not as impressive as the old one,NEGATIVE
Slipping down and speeding and hanging,NEGATIVE
"When your handset is running everyday, no value is worth buying",NEGATIVE
A special and modern handset that never gets old,POSITIVE
Friends looking for the camera are the phone for perfect shooting,POSITIVE
"Friends of the game, this phone also has a bit of image quality in terms of image quality",POSITIVE
"I've bought it and I'm very pleased, it's incredibly comfortable and effortless.",POSITIVE
"Super, stylish and reliable",POSITIVE
"The phone is good, I'm really happy, I've lost a lot of times a day, it's not worth the price",POSITIVE
With this price is not at all affordable,NEGATIVE
It benefits from a very powerful chip,POSITIVE
This handset is not worth the purchase with the design of a few years ago,NEGATIVE
Today I came to my hands. Very good camera quality,POSITIVE
"Both in terms of hardware and software, and in terms of its sleekness and capabilities",POSITIVE
It's great in terms of operating system and does not even run. It also runs heavy games without getting hot,POSITIVE
Repeated appearance of Full Vision technology,NEGATIVE
The disadvantage of the camera out of the body of the phone is that if it fails to properly damage the frame,NEGATIVE
The bottom-left resolution does not allow the connection of the RAM,NEGATIVE
"Reducing battery power compared to previous version, although it works the same as the previous version",NEGATIVE
"The limitless speed of this handset, which unlocked the app, continued to work without slowing down",POSITIVE
Beautiful design using metal and glass,POSITIVE
"The high quality point of the camera is really great, the portrait mode on the camera is great",POSITIVE
The strong point of all heavy gaming is ultimately the unpowering speed of the handset even in heavy use,POSITIVE
The appearance of a bad and boring repeating appearance is ugly,NEGATIVE
"Apple has always been the pioneer in terms of beauty, device and operating system.",POSITIVE
The game is fully compatible with the phone software and is very good,POSITIVE
The battery capacity of the handset is slightly lower than the previous generation,NEGATIVE
"The handset finally supports wireless and fast charging, but the charge should be separately priced, which is, I think, worthwhile",POSITIVE
"There is no sluggishness in the programs and tests that were taken from it, much stronger than the previous generation",POSITIVE
Due to the sanctions and the lack of compatibility of many of the capabilities with the Iranian system of spending money,NEGATIVE
"You can work with iPhones for hours without any hurry or hang, which is not the case with other handsets. It does not make sense for the iPhone",POSITIVE
Great for you. Make sure you do not mind,POSITIVE
The sound of the speakers is great. Suitable high quality,POSITIVE
Removing the headphone jack occasionally gets annoying,NEGATIVE
"The camera's original selfie camera is very good, especially in portrait mode",POSITIVE
The charge is great. The battery does not really speak.,POSITIVE
The quality of the build and the display is always great and nothing short of,POSITIVE
it stopped and kept hanging my nerves,NEGATIVE
The margin is so old that the old design is counted and your innovation is not designed,NEGATIVE
"The price that has gone so high that you have the power to buy from someone you do not have a certain brand of fanaticism. You have to see what's going to look good and all the conditions, and not just focus on a particular brand",NEGATIVE
It's not good at all. It does not cost you much,NEGATIVE
Do not hesitate to get the best handsfree handset with the best high-end user interface,POSITIVE
Easily performs everything with a lot of light,POSITIVE
This ultra-slim handset is really great,POSITIVE
The look and feel of the most versatile handset than its rivals,POSITIVE
Very nice and wonderful camera is great,POSITIVE
"I'm happy with the battery. If you want to experience a great phone, be sure to buy it. Do not doubt it",POSITIVE
This phone is really great and does not need to be honored,POSITIVE
There is little memory and its amount is not enough and limited.,NEGATIVE
Evolved two generations before the appearance of acceptable cost,POSITIVE
"Quality does not come in handy, and if you set it up with Slow Wave, it will not be so interesting",NEGATIVE
"But other parts of it are not defined, and in the long run you will notice low quality",NEGATIVE
"Hardware with software has the highest level of coordination and collaboration, and this is a high efficiency of a system.",POSITIVE
"With what justification, we should spend all this money on this device and not worth it",NEGATIVE
The hostility to the Iranians and the removal of Iranian apps from the App Store have many limitations,NEGATIVE
The memory stick is not supported and the main memory is low. No innovation,NEGATIVE
Do not buy this phone to get new updates and software bugs.,NEGATIVE
"The more natural white on the screen than its other handsets, such as Samsung, is its strong point",POSITIVE
High speed and powerful operating system Effects cameras Optical lenses Improve stereo sound quality,POSITIVE
The weight of this handset is a low battery,NEGATIVE
"It's so hard for God to work everyday with Apple. It has a very high build quality and great design, but not so much of a look.",NEGATIVE
"It's really far from Ensafa that Apple is willing to buy some of the features in its handsets, or because of its appearance, it's so high for its phones.",NEGATIVE
Very good camera with high pixels and pictures with natural colors.,POSITIVE
The processor really speeds up the phone and has more memory,POSITIVE
"The body of the body is resistant to glass, preventing the penetration of dust and water, and not use it inside the pool, if it suddenly falls into the water, nothing happens",POSITIVE
"It looks good, but it does not buy the radio at all",NEGATIVE
Only the class has the same high price,NEGATIVE
Being glassy and sleek in the handset are two of the high-end camera capabilities,POSITIVE
"There is a problem with the weak battery, and it is a big mistake",NEGATIVE
Why should we hurt ourselves to work it with time-consuming it?,NEGATIVE
"The lens of the camera lets you hear this sound by hitting the door, perhaps you will not be in a busy environment, but if it's silent, your surroundings will taste well",NEGATIVE
"The camera flash does not get cold. It's a very poor quality, but it's really just a class",NEGATIVE
High power of the front and rear camera. Very beautiful design,POSITIVE
High power of the front and rear camera. Very beautiful design,NEGATIVE
Really the world's worst phone. Just have a name,NEGATIVE
"In my opinion, I do not know any design, and the rest is burned in the distance from the arrow to the Benz",NEGATIVE
"Expensive luxury product, Apple is more likely to get its name to innovate, to your comrades who are willing to cook, or if their use is prohibitive",NEGATIVE
Ultra-slim security so that the face detection sensor opens with digital photo,NEGATIVE
"In terms of hardware and software, there is little backwardness and no words to say",NEGATIVE
Exquisite and eye-catching body design,POSITIVE
The best and most up-to-date iOS apps are simple and easy operating systems,POSITIVE
Unparalleled and powerful CPUs are a great asset to the strengths of this product,POSITIVE
Relative heat regimen at the time of iTunes hard work,NEGATIVE
The user has a very simple and easy way to enjoy your enjoyment,POSITIVE
It has a really great performance.,POSITIVE
Early in the little use to get used to it get annoyed,NEGATIVE
The body is very sturdy and durable.,POSITIVE
"The regiments were very small and mostly related to the programming of some applications, especially the Iranians, who consistently abandoned Apple's system programs by the same tuning regimes by regular updates, and the other programs were also relatively They pay special attention to eliminating their flaws",POSITIVE
Design and beauty you know how crazy you are.,POSITIVE
Fully rosulous operating system has a nice sound body,POSITIVE
"There are a lot of limitations to you, either in terms of hardware or software",NEGATIVE
"The battery is routinely worn out by day, with a pretty frustrating Wi-Fi",NEGATIVE
The operating system screen of the hardware camera is all the better than any other device,POSITIVE
"You're slow down, weaker than the rest of the flags",NEGATIVE
"Unfortunately, it is against other Android flagships, saying absolutely no performance and exaggeration",NEGATIVE
"In the normal case, the device will cost the Android the smallest and most ordinary and most ordinary Android",NEGATIVE
"Unfortunately, the volume of files and programs is multiplied by the amount of time and the amount of Internet access is also memory occupation",NEGATIVE
"First, you need to pay attention to its strengths, which can be pointed out by the style of the operating system, it's really good and maybe it's possible to say that one and a half times the numbers actually work. Technology is also very interesting",POSITIVE
"The screen does not say anything to say, with pixel density and resolution, there's nothing to do with any phone.",NEGATIVE
"I love phone very much. In my opinion, it is beautiful and beautiful in all aspects",POSITIVE
"Good camera and operating system, very strong antenna, high quality hardware",POSITIVE
"The battery is too weak, but they say they do not climb at all. Al-Kayyy has come up to me some times when she's bouncing or knocking",NEGATIVE
The App Store is very regular and accurate. Every program that is available is very good in Iran,POSITIVE
"You can easily work with it. Ultimately, if you get into trouble with the filter, your problem will be resolved.",POSITIVE
"But the basic constraints that make you feel too much and if you can not deal with it, it's so annoying",NEGATIVE
"Compared to competitors, the screen has a weaker screen and grunge",NEGATIVE
It's the most intuitive user interface that makes me wonder,POSITIVE
Exquisitely crafted design with excellent build quality,POSITIVE
High-quality camera hardware and battery,POSITIVE
The super operating system has almost no limits and can do anything about it,POSITIVE
"Even with its limitations, which is due to its high security, it's a completely different and enjoyable world, and it's a lot more enjoyable to work with.",POSITIVE
"One of the important things that matters to me is extremely smart. That is, Adam deeply enjoys being so busy when he is working with him",POSITIVE
"Its operating system without a reg, the quality of touch and body, excellent hands-free quality, high security",POSITIVE
The battery could be slightly stronger. Battery consumption is high,NEGATIVE
It's a little bit annoying because you can not easily download and manage files on the system and make your application easy to install.,NEGATIVE
"Although we are a sanction, but the software is excellent",POSITIVE
It does not hang and does not hurt,POSITIVE
The camera and the lens do not speak and do not follow the number,POSITIVE
"Extremely fast and fluid in the implementation of the program and the game, and of course multitasking",POSITIVE
The battery is not enough for a day and you can not use it well,NEGATIVE
I bought this mobile phone as a fish and did not feel any shortage. I found every program I wanted to quickly find in the App Store.,POSITIVE
You are not satisfied with the support of Iran,NEGATIVE
"In terms of power, with chipsets, you will not miss the camera at all",POSITIVE
"Its great operating system, which you find new things every day",POSITIVE
Not satisfied with anyone. No one can buy,NEGATIVE
"The price of this handset does not go away, I wish it was cheaper",NEGATIVE
The phone is good but its price is unfair. It's not worth the purchase,NEGATIVE
Strong hardware strengths are stylish and stylish than before,POSITIVE
Rocket speed with ultra-fast performance The superb fingerprint sensor's unique audio assistant,POSITIVE
It was a very bad phone and swallowed its battery,NEGATIVE
it exploded while charging and its screen and battery burned,NEGATIVE
"It was a junk that was installed by itself. A virus could have flashed a thousand times, but it did not work",NEGATIVE
"The page broke down, and a few of the large, full-colored lines on the page were not correct with the flash",NEGATIVE
The function of the handset is impaired and does not work properly,NEGATIVE
Android phones have a bit of life and soon become out of date. I got this miserable experience,NEGATIVE
"If I'm looking for a long-life, high-speed device without a virus and a high-speed hack, I'd recommend",POSITIVE
"I'm bored, I've sold it, I did not go, I could not do anything right, I did not download anything right",NEGATIVE
its no good and not used in Iran,NEGATIVE
Extremely fast and easy to use. High-performance features,POSITIVE
"The speed of Apple's outstanding performance and unique apps, you can use it without dropping the speed of a few years.",POSITIVE
"Super, Deluxe, Excellent, Excellent, not comparable to any phone, not even the best",POSITIVE
"It hangs, so many apps get crashed, it's getting too hot, it gets hot",NEGATIVE
"In the case of an update, the speed of the handset is a bit trickier.",POSITIVE
The really best friends may not bring you anything,POSITIVE
"It's easy to answer for a few years and you do not need to change the phone, and at all, you can not play it down, this phone is a giant in every sense",POSITIVE
I really had a lot of restrictions on my god's price,NEGATIVE
High-speed camera strong psyche,POSITIVE
"It's too late to charge the battery, which is a result of continuous operation, which is very powerful with a low capacity battery",NEGATIVE
Lack of fast charging is not a waterproof file manager,NEGATIVE
High prices are unobtainable and without reason,NEGATIVE
"Most facilities are useless for the Iranians, so disappointed.",NEGATIVE
The lack of a Persian keyboard easily slips from Leicester,NEGATIVE
There is no support for Persian language at a time when there is not even a keyboard called Persian among its options,NEGATIVE
"I have to tell you, do not hesitate to buy",POSITIVE
"The phone is very classy and stylish, especially the color of the gold that is great",POSITIVE
The strength point is nothing too weak,NEGATIVE
It is very fluid and tasty and a very valuable upgrade for me,POSITIVE
Really everything is very beautiful and wonderful,POSITIVE
"It does not look nice at all, in terms of efficiency",NEGATIVE
"Really good phone, Apple has a very high class, it's also very nice",POSITIVE
It's just the class. It's just nothing. It only takes the brand money,NEGATIVE
It was very hot until the next month the phone was turned off and it did not turn on,NEGATIVE
I'm so sorry I'm not satisfied,NEGATIVE
Unique and outstanding navigation sensor on any device,POSITIVE
Productivity in the formulation and application synchronization of the minimum leg and sticks while running multiple applications.,POSITIVE
Shelf life from morning to night for a battery that will last for a full day's full-time use,POSITIVE
The tactile functionality brings with it its distinctive performance,POSITIVE
It could be distinguished by the excellent coordination of hardware and software,POSITIVE
"The durability and durability of its body, as well as the durability of its charger and handsfree cable, which is a kind of boxing wire of its kind",POSITIVE
Relatively high prices on peripherals,NEGATIVE
"The Chinese brands are lower, as expected, was not welcomed",NEGATIVE
"Really, I'm really pleased with the smartphone",POSITIVE
I got this phone a month and it's really great,POSITIVE
it crashed went on hanging out,NEGATIVE
"It's all about getting the user to enjoy the handset, and so much the software and hardware of the handset are in sync, that you never see the hang of a stick on the phone",POSITIVE
"I personally love my three-dimensional touch, making my work faster",POSITIVE
"In one word, the best mobile brand in terms of manufacturing quality software",POSITIVE
Extreme speeds run even at the same time,POSITIVE
The high quality of the build is very beautiful,POSITIVE
"I've got this phone for more than a year, and I'm using it, fairly everything is great and I'm satisfied, speed, camera quality, innovation, everything.",POSITIVE
Its main disadvantage is battery charging,POSITIVE
Exaggerated and over-saturated camera quality down.,NEGATIVE
The top factor of this handset is its flagship operating system and hardware and security compatibility,POSITIVE
"In all respects, it's really great to have a great build quality, a high quality display and camera",POSITIVE
"Good progress has been made, such as faster processors, water resistance, and, to some extent, the development of the camera in low light",POSITIVE
The 3D touch technology of this handset is very functional,POSITIVE
Its camera Good operating system. The quality of the right parts. up to date. Stylish,POSITIVE
"I've got four months old, I can safely say it's best in its own right",POSITIVE
I would be very happy to offer you,POSITIVE
File transfer to phone is not easy,NEGATIVE
"I'm getting used to it by my phone, and it's pretty cool. It does not mean the camera is a great hardware.",POSITIVE
Apps are difficult and you can not easily work with them,NEGATIVE
There are a lot of misunderstandings about this handset and it's not recommended for the entire purchase,NEGATIVE
The point is not high and very poor quality and poor.,NEGATIVE
"I bought and used a month, but then I sold it was not good",NEGATIVE
It ignores the needs of a large category of users and does not eliminate them,NEGATIVE
Extremely high speed in the performance of the programs. Superior screen quality without any hangs,POSITIVE
"The camera is really awesome, the features of the live images are still in the limelight",POSITIVE
Do not hesitate to buy this handset this price range is undoubtedly the right option,POSITIVE
The limitations that this model has given me is to stop buying it. It's hard to use,NEGATIVE
The handset is very hot and sometimes it burns,NEGATIVE
"Contrary to popular belief, the battery is not weak at all. The camera does not really speak",POSITIVE
This handset is very nice and it's perfectly fun to work with,POSITIVE
Bluetooth does not have to download the data that it's time to download.,NEGATIVE
"I've got this phone for four months, which is really great, so far I have not seen any weaknesses",POSITIVE
Precise and fast fingerprinting of terri-dactyl and fast-life,POSITIVE
Excellent camera with excellent camera features with unrivaled features,POSITIVE
"After a long break, the hang of speed slowed down to find the virus",NEGATIVE
From the beginning he had a bug and a lagg,NEGATIVE
"Memory and SIM card were damaged. Android is something like a toy, and the operating system is nonsense and it soon crashes the phone.",NEGATIVE
"Good body design and good looks, lightweight, good battery, good battery life and good handsfree",POSITIVE
Waterproof is not very hot and it costs a lot,NEGATIVE
The hardware is very weak and can not do anything in vain,NEGATIVE
"The handset does not process any process, and it does not hurt at all",NEGATIVE
The whole range of handsets is not too waterproof and waterproof is one of the bad guys in this device,NEGATIVE
